tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_class	specimen_lithology	specimen_type
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-1-3	Igneous:Extrusive	Basalt	Lava flow
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-2-3	Igneous:Extrusive	Basalt	Lava flow
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-3-3	Igneous:Extrusive	Basalt	Lava flow
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-4-3	Igneous:Extrusive	Basalt	Lava flow
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-4-4L	Igneous:Extrusive	Basalt	Lava flow
10.1111/j.1365-246X.2012.05412.x:This study	Hawaii	A	Hawaii 1960 Flow	A-5-3	Igneous:Extrusive	Basalt	Lava flow
10.1029/2005GC001141:This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1c	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1d	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1e	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4a	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4b	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4e	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4f	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4g	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
10.1029/2005GC001141:This study	EPR	AL2770-3	1991-1992 Eruption Site	AL2770-3a	Igneous:Extrusive:Submarine	Submarine Basaltic Glass	Glassy Margin
