tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b_beta	specimen_correction	specimen_dck	specimen_dpal	specimen_dt	specimen_dtr	specimen_f	specimen_frac	specimen_gmax	specimen_int	specimen_int_alpha	specimen_int_corr_anisotropy	specimen_int_corr_cooling_rate	specimen_int_corr_nlt	specimen_int_dang	specimen_int_mad	specimen_int_mad_anc	specimen_int_n	specimen_int_ptrm_n	specimen_k_prime	specimen_lab_field_dc	specimen_q	specimen_scat
This study	Hawaii	A	Hawaii 1960 Flow	A-2-3	A-2-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	273	K	0.04	u	4.20	4.39	-999.00	nan	0.51	0.52	0.26	4.29e-05	1.42	1.00			1.47	1.47	0.39	10	4	0.09	3.00e-05	11.03	1
This study	Hawaii	A	Hawaii 1960 Flow	A-3-3	A-3-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	793	273	K	0.05	u	1.98	3.63	-999.00	nan	0.59	0.62	0.21	3.96e-05	1.12	1.00			1.19	0.88	0.37	9	3	-0.07	3.00e-05	9.30	1
This study	Hawaii	A	Hawaii 1960 Flow	A-5-3	A-5-3 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	813	273	K	0.05	u	4.97	4.81	-999.00	nan	0.80	0.79	0.22	3.46e-05	0.85	1.00			0.96	0.85	0.41	10	4	0.08	3.00e-05	14.95	1
This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1b	AL2360-1b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	398	K	0.03	u	4.96	2.41	-999.00	nan	0.95	0.90	0.21	3.30e-05	2.45	1.00			2.89	5.33	2.33	16	8	0.13	2.50e-05	30.40	1
This study	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1e	AL2360-1e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	748	648	K	0.04	u	4.13	1.02	-999.00	nan	0.55	0.47	0.39	3.49e-05	5.21	1.00			6.33	2.03	2.57	5	6	0.20	2.50e-05	9.72	1
This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4a	AL2742-4a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	698	548	K	0.07	u	3.30	3.70	-999.00	nan	0.50	0.50	0.22	3.65e-05	0.73	1.00			0.78	3.91	1.06	7	5	0.10	2.50e-05	6.01	1
This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4e	AL2742-4e : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	698	373	K	0.01	u	2.10	0.08	-999.00	0.21	0.59	0.61	0.21	3.57e-05	3.70	1.00			3.91	3.47	1.19	12	5	0.06	2.50e-05	36.96	1
This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4f	AL2742-4f : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	698	273	K	0.05	u	1.34	1.63	-999.00	0.65	0.70	0.68	0.38	3.02e-05	4.13	1.00			4.39	5.93	1.79	13	5	0.09	2.50e-05	10.77	1
This study	EPR	AL2742-4	1991-1992 Eruption Site	AL2742-4g	AL2742-4g : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	773	498	K	0.04	u	2.12	2.20	-999.00	0.97	0.91	0.87	0.17	3.62e-05	2.50	1.00			3.15	3.10	1.90	12	7	-0.08	2.50e-05	18.83	0
This study	EPR	AL2852-2	1991-1992 Eruption Site	AL2852-2b	AL2852-2b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	748	623	K	0.05	u	4.48	3.54	-999.00	nan	0.56	0.50	0.32	3.75e-05	1.34	1.00			1.61	2.61	1.23	6	6	0.27	2.50e-05	8.12	1
