tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_dtr	specimen_int_mad_anc	specimen_int_n	specimen_dck	specimen_int_alpha	specimen_b_beta	specimen_dpal	specimen_f	specimen_q	specimen_dt
1991-1992 Eruption Site	AL3035-2h	37.09	225	400	25	1.00	-	-	0.63	0.80	8.00	2.42	1.82	0.02	4.86	0.53	19.28	-999.00
1991-1992 Eruption Site	AL3035-2i	36.86	225	375	25	1.00	-	-	2.02	0.81	7.00	0.79	1.74	0.02	0.06	0.57	25.40	-999.00
1991-1992 Eruption Site	AL3035-2j	36.30	200	500	25	1.00	-	-	2.62	0.75	13.00	1.54	0.61	0.01	0.10	0.89	101.44	-999.00
1991-1992 Eruption Site	AL3166-1b	33.65	225	425	25	1.00	-	-	nan	1.04	9.00	1.69	1.03	0.01	0.52	0.70	53.33	-999.00
1991-1992 Eruption Site	AL3159-1a	36.40	225	450	25	1.00	-	-	nan	2.18	10.00	3.14	3.34	0.09	4.46	0.62	5.80	-999.00
1991-1992 Eruption Site	AL3166-1a	31.83	275	500	25	1.00	-	-	nan	2.59	10.00	4.50	5.37	0.06	4.73	0.76	10.04	-999.00
1991-1992 Eruption Site	AL3031-1a	41.33	375	500	25	1.00	-	-	nan	0.81	6.00	4.82	0.56	0.04	4.62	0.51	8.93	-999.00
1991-1992 Eruption Site	AL3031-1c	32.76	200	525	25	1.00	-	-	1.09	1.83	14.00	4.99	1.79	0.04	3.94	0.93	23.10	-999.00
1991-1992 Eruption Site	AL3031-1b	41.01	300	500	25	1.00	-	-	nan	1.04	9.00	2.95	0.44	0.01	1.43	0.74	43.03	-999.00
1991-1992 Eruption Site	AL3029-4b	32.84	300	450	25	1.00	-	-	nan	4.57	7.00	3.20	13.64	0.05	4.08	0.50	7.98	-999.00
1991-1992 Eruption Site	AL3034-5b	40.11	100	450	25	1.00	-	-	nan	1.78	13.00	4.24	2.51	0.08	0.00	0.52	5.85	-999.00
1991-1992 Eruption Site	AL3034-5a	36.17	200	525	25	1.00	-	-	nan	1.26	14.00	2.16	0.92	0.02	1.58	0.93	44.76	-999.00
