tab 	criteria
citations	criterion	criterion_operation	criterion_value	description	table_column
This study	IE-SAMP	>=	1.0	acceptance criteria for study	samples.int_n_specimens
This study	IE-SPEC	<=	0.1	acceptance criteria for study	specimens.int_b_beta
This study	IE-SPEC	<=	5.0	acceptance criteria for study	specimens.int_dck
This study	IE-SPEC	<=	5.0	acceptance criteria for study	specimens.int_dpal
This study	IE-SPEC	<=	10.0	acceptance criteria for study	specimens.int_dtr
This study	IE-SPEC	>=	0.5	acceptance criteria for study	specimens.int_f
This study	IE-SPEC	<=	5.0	acceptance criteria for study	specimens.int_alpha
This study	IE-SPEC	<=	10.0	acceptance criteria for study	specimens.int_dang
This study	IE-SPEC	<=	5.0	acceptance criteria for study	specimens.int_mad_free
This study	IE-SPEC	>=	5.0	acceptance criteria for study	specimens.int_n_measurements
