tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_chi_volume	measurement_flag	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_standard	measurement_temp	treatment_temp
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009680000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009790000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009830000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009690000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009790000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009720000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009670000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009660000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009720000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009670000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009750000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009820000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009740000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009750000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a1	975.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009820000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009800000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009860000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009950000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009780000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009850000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009810000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009680000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009690000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009810000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009680000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009850000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009900000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009800000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009850000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-a	east	east-a2	985.0000:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009900000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008610000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008740000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008810000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008620000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008750000	g	5	45.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008660000	g	6	90.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008530000	g	7	270.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008560000	g	8	270.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008670000	g	9	270.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008530000	g	10	90.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008730000	g	11	180.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008710000	g	12	180.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008630000	g	13	0.0	-90.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008730000	g	14	0.0	-45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b1	873.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0008710000	g	15	0.0	45.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b2	962.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009470000	g	1	315.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b2	962.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009580000	g	2	225.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b2	962.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009700000	g	3	180.0	0.0	u	2.730e+02	2.730e+02
This study	Dike	east-b	east	east-b2	962.:LP-AN-MS	LP-X	pmagpy-3.1.6	0.0009470000	g	4	135.0	0.0	u	2.730e+02	2.730e+02
