tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_dip	sample_height	sample_lithology	sample_type
This study	Scripps Beach	as1a	as1	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	95	Sedimentary	-45	0	shale	sedimentary layer
This study	Scripps Beach	as1b	as1	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	105	Sedimentary	-39	0	shale	sedimentary layer
This study	Scripps Beach	as1c	as1	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	90	Sedimentary	-51	0	shale	sedimentary layer
This study	Scripps Beach	as1d	as1	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	93	Sedimentary	-49	0	shale	sedimentary layer
This study	Scripps Beach	as1e	as1	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	90	Sedimentary	-49	0	shale	sedimentary layer
This study	Scripps Beach	as2a	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	85	Sedimentary	-65	0	shale	sedimentary layer
This study	Scripps Beach	as2b	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	86	Sedimentary	-64	0	shale	sedimentary layer
This study	Scripps Beach	as2c	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	85	Sedimentary	-69	0	shale	sedimentary layer
This study	Scripps Beach	as2d	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	81	Sedimentary	-74	0	shale	sedimentary layer
This study	Scripps Beach	as2e	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	81	Sedimentary	-73	0	shale	sedimentary layer
This study	Scripps Beach	as2f	as2	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	86	Sedimentary	-59	0	shale	sedimentary layer
This study	Scripps Beach	as3a	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	35	Sedimentary	-64	0	shale	sedimentary layer
This study	Scripps Beach	as3b	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	39	Sedimentary	-63	0	shale	sedimentary layer
This study	Scripps Beach	as3c	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	37	Sedimentary	-61	0	shale	sedimentary layer
This study	Scripps Beach	as3d	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	53	Sedimentary	-66	0	shale	sedimentary layer
This study	Scripps Beach	as3e	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	60	Sedimentary	-62	0	shale	sedimentary layer
This study	Scripps Beach	as3f	as3	SO-MAG:FS-FD:SO-POM:SO-CMD-NORTH	77	Sedimentary	-54	0	shale	sedimentary layer
