tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_class	specimen_lithology	specimen_type
This study	Scripps Beach	as1a	as1	as1a1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1a	as1	as1a2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1a	as1	as1a3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3a	as3	as3a1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3a	as3	as3a2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3a	as3	as3a3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1b	as1	as1b1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1b	as1	as1b2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1b	as1	as1b3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1c	as1	as1c1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1c	as1	as1c2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1c	as1	as1c3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1d	as1	as1d1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1d	as1	as1d2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1d	as1	as1d3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1e	as1	as1e1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as1e	as1	as1e2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2a	as2	as2a1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2a	as2	as2a2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2a	as2	as2a3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2a	as2	as2a4	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2b	as2	as2b1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2b	as2	as2b2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2b	as2	as2b3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2b	as2	as2b4	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2c	as2	as2c1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2c	as2	as2c2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2c	as2	as2c3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2c	as2	as2c4	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2d	as2	as2d1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2d	as2	as2d2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2e	as2	as2e1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2e	as2	as2e2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2f	as2	as2f1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as2f	as2	as2f2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3b	as3	as3b1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3b	as3	as3b2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3b	as3	as3b3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3c	as3	as3c1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3c	as3	as3c2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3c	as3	as3c3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3d	as3	as3d1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3d	as3	as3d2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3d	as3	as3d3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3e	as3	as3e1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3e	as3	as3e2	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3e	as3	as3e3	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3f	as3	as3f1	Sedimentary	Shallow Marine Sediments	Sediment Layer
This study	Scripps Beach	as3f	as3	as3f2	Sedimentary	Shallow Marine Sediments	Sediment Layer
