tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_flag	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_standard	measurement_temp	treatment_temp
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a1	as1a1:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a2	as1a2:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as1a	as1	as1a3	as1a3:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a1	as3a1:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a2	as3a2:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	8	270	0	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	9	270	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	10	90	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	11	180	45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	12	180	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	13	0	-90	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	14	0	-45	u	273	273
This study	Scripps Beach	as3a	as3	as3a3	as3a3:LP-AN-MS	LP-X	g	15	0	45	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	1	315	0	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	2	225	0	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	3	180	0	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	4	135	0	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	5	45	0	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	6	90	-45	u	273	273
This study	Scripps Beach	as1b	as1	as1b1	as1b1:LP-AN-MS	LP-X	g	7	270	-45	u	273	273
