tab	ages
age	location	site	age_sigma	age_unit	citations	description	method_codes
1.18	McMurdo	mc01	0.005	Ma	Tauxe et al. 2004	Excellent flat spectrum.	GM-ARAR-AP
0.33	McMurdo	mc02	0.01	Ma	Tauxe et al. 2004	Reasonably flat, some recoil, climbs ar high T, but decent data. .	GM-ARAR-AP
0.348	McMurdo	mc03	0.004	Ma	Tauxe et al. 2004	Excellent flat spectrum for 70%, then climbs abruptly at high T as K/Ca drops. .	GM-ARAR-AP
0.34	McMurdo	mc04	0.003	Ma	Tauxe et al. 2004	Excellent flat spectrum with concordant WMPA and IA.	GM-ARAR-AP
0.65	McMurdo	mc08	0.025	Ma	Tauxe et al. 2004	Somewhat U-shaped spectrum with OK plateau in middle.	GM-ARAR-AP
0.074	McMurdo	mc09	0.0075	Ma	Tauxe et al. 2004	2 good plateaus - 1@ low T and 1@ hi T. Assign average age.	GM-ARAR-AP
0.86	McMurdo	mc100	0.115	Ma	This study		GM-ARAR-AP
1.065	McMurdo	mc101	0.004	Ma	Wilch 1991		GM-ARAR-AP
0.264	McMurdo	mc102	0.01	Ma	Wilch 1991		GM-ARAR-AP
1.421	McMurdo	mc103	0.015	Ma	Wilch 1991		GM-ARAR-AP
0.29	McMurdo	mc104	0.01	Ma	This study		GM-ARAR-AP
0.86	McMurdo	mc105	0.035	Ma	Armstrong 1978		GM-KAR
13.42	McMurdo	mc106	0.09	Ma	This study		GM-ARAR-AP
2.57	McMurdo	mc107	0.19	Ma	Wilch 1991		GM-ARAR-AP
0.41	McMurdo	mc108	0.07	Ma	This study		GM-ARAR-AP
1.261	McMurdo	mc109	0.02	Ma	Wilch 1991		GM-ARAR-AP
7.94	McMurdo	mc110	0.12	Ma	Wilch 1991		GM-ARAR-AP
1.99	McMurdo	mc111	0.02	Ma	This study		GM-ARAR-AP
7.63	McMurdo	mc112	0.16	Ma	Wilch 1991		GM-ARAR-AP
6.73	McMurdo	mc113	0.085	Ma	Wilch 1991		GM-ARAR-AP
1.62	McMurdo	mc114	0.14	Ma	Wilch 1991		GM-ARAR-AP
2.46	McMurdo	mc115	0.155	Ma	This study		GM-ARAR-AP
1.14	McMurdo	mc116	0.055	Ma	Wilch 1991		GM-ARAR-AP
2.28	McMurdo	mc117	0.12	Ma	Wilch 1991		GM-ARAR-AP
0.31	McMurdo	mc118	0.02	Ma	This study		GM-ARAR-AP
1.08	McMurdo	mc119	0.11	Ma	Wilch 1991		GM-ARAR-AP
