tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc108	P1080029.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC108 site overview	Outcrop	This study	Lisa Tauxe	2004-01-08T00:00:00Z
McMurdo	mc118	P1120001.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC118 closeup of sampling sites	Outcrop	This study	Lisa Tauxe	2004-01-12T00:00:00Z
McMurdo	mc118	P1150002.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	image of differential GPS system	Outcrop	This study	Lisa Tauxe	2004-01-12T00:00:00Z
McMurdo	mc119	P1150004.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC119 detail	Outcrop	This study	Lisa Tauxe	2004-01-12T00:00:00Z
McMurdo	mc119	P1150005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC119 detail	Outcrop	This study	Lisa Tauxe	2004-01-12T00:00:00Z
McMurdo	mc150	P12500011.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter drilling for paleomagnetic site	Outcrop	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc150	P12500014.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC150 closeup of samples D-J	Outcrop	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc150	P12500015.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC150 closeup of samples A-I	Outcrop	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc150	P1250009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Taylor Valley landscape	Landscape	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc152	P1260026.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC152 detail of sample locations	Outcrop	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc152	P1260027.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter chilling out	Outcrop	This study	Lisa Tauxe	2004-01-26T00:00:00Z
McMurdo	mc154	P1270009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC154 view of lava in front of Roaring Valley glacier	Outcrop	This study	Lisa Tauxe	2004-01-28T00:00:00Z
McMurdo	mc156	P1280023.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC156 closeup of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-28T00:00:00Z
McMurdo	mc156	P1280024.JPG	overview	MC156 view up valley	Outcrop	This study	Lisa Tauxe	2004-01-28T00:00:00Z
McMurdo	mc158	P12800012_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter at the bar	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc158	P1280004.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC158 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc158	P1280005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC158 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc158	P1280006.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC158 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc160	P1290039.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC160 detail of samples A-F	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc160	P1290040.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC160 detail of samples F-L	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc160	P1290041.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC160 detail of samples A-G	Outcrop	This study	Lisa Tauxe	2004-01-29T00:00:00Z
McMurdo	mc161	P1290005.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC 161 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc161	P1290006.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC 161 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc161	P1290007.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC 161 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc161	P1290008.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC 161 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc161	P1290009.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC 161 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc162	P1300016.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC162 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc162	P1300017.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC162 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc162	P1300018.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC162 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc162	P1300019.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter wrapping samples	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc163	P1300083.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC163 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc163	P1300084.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC163 detail of sampling locations	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc163	P1300085.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter wrapping more samples	Outcrop	This study	Lisa Tauxe	2004-01-30T00:00:00Z
McMurdo	mc165	P1310044_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC165 detail of C-J	Outcrop	This study	Lisa Tauxe	2004-01-31T00:00:00Z
McMurdo	mc165	P1310045_1.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	MC165 detail of A-H	Outcrop	This study	Lisa Tauxe	2004-01-31T00:00:00Z
McMurdo	mc166	P2020025.JPG	outcrop photo: paleomagnetic site :McMurdo volcanics	Jasper Konter orienting samples	Outcrop	This study	Lisa Tauxe	2004-02-02T00:00:00Z
