tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	description	azimuth	azimuth_dec_correction	dip	orientation_quality	citations	method_codes
mc01a	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	260.0	0	-57.0	g	This study	SO-SIGHT:FS-FD
mc01b	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	189.0	0	-63.0	g	This study	SO-SIGHT:FS-FD
mc01c	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	183.0	0	-30.0	g	This study	SO-SIGHT:FS-FD
mc01d	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	133.0	0	-57.0	g	This study	SO-SIGHT:FS-FD
mc01e	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	91.0	0	-51.0	g	This study	SO-SIGHT:FS-FD
mc01f	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	94.0	0	-55.0	g	This study	SO-SIGHT:FS-FD
mc01g	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	69.0	0	-56.0	g	This study	SO-SIGHT:FS-FD
mc01h	mc01	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Archived samples from 1965, 66 expeditions.	157.0	0	-41.0	g	This study	SO-SIGHT:FS-FD
mc02a	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	190.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc02b	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	231.0	0	-59.0	g	This study	SO-SIGHT:FS-FD
mc02c	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	220.0	0	-58.0	g	This study	SO-SIGHT:FS-FD
mc02d	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	246.0	0	-68.0	g	This study	SO-SIGHT:FS-FD
mc02e	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions ## direction deleted because: bad mark in field##.	235.0	0	-43.0	b	This study	SO-SIGHT:FS-FD
mc02f	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	182.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc02g	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	197.0	0	-32.0	g	This study	SO-SIGHT:FS-FD
mc02h	mc02	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	298.0	0	-48.0	g	This study	SO-SIGHT:FS-FD
mc03a	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	306.0	0	-68.0	g	This study	SO-SIGHT:FS-FD
mc03b	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	287.0	0	-66.0	g	This study	SO-SIGHT:FS-FD
mc03c	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	291.0	0	-76.0	g	This study	SO-SIGHT:FS-FD
mc03d	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	250.0	0	-58.0	g	This study	SO-SIGHT:FS-FD
mc03e	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	309.0	0	-68.0	g	This study	SO-SIGHT:FS-FD
mc03f	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	305.0	0	-86.0	g	This study	SO-SIGHT:FS-FD
mc03g	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	288.0	0	-41.0	g	This study	SO-SIGHT:FS-FD
mc03h	mc03	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	274.0	0	-58.0	g	This study	SO-SIGHT:FS-FD
mc04a	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	91.0	0	-43.0	g	This study	SO-SIGHT:FS-FD
mc04b	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	86.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc04c	mc04	-77.84	166.7	Extrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	121.0	0	-33.0	g	This study	SO-SIGHT:FS-FD
mc04d	mc04	-77.84	166.7	Extrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	92.0	0	-55.0	g	This study	SO-SIGHT:FS-FD
mc04e	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	124.0	0	-68.0	g	This study	SO-SIGHT:FS-FD
mc04f	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	151.0	0	-39.0	g	This study	SO-SIGHT:FS-FD
mc04g	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions.	306.0	0	-29.0	g	This study	SO-SIGHT:FS-FD
mc04h	mc04	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Archived samples from 1965, 66 expeditions ## direction deleted because: bad mark in field##.	44.0	0	-55.0	b	This study	SO-SIGHT:FS-FD
mc06a	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	137.0	0	-23.0	g	This study	SO-SIGHT:FS-FD
mc06b	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	171.0	0	-13.0	g	This study	SO-SIGHT:FS-FD
mc06c	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	209.0	0	-26.0	g	This study	SO-SIGHT:FS-FD
mc06d	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	128.0	0	-20.0	g	This study	SO-SIGHT:FS-FD
mc06e	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	139.0	0	-18.0	g	This study	SO-SIGHT:FS-FD
mc06f	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	131.0	0	-17.0	g	This study	SO-SIGHT:FS-FD
mc06g	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	97.0	0	-22.0	g	This study	SO-SIGHT:FS-FD
mc06h	mc06	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	81.0	0	-22.0	g	This study	SO-SIGHT:FS-FD
mc07a	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	70.0	0	-50.0	g	This study	SO-SIGHT:FS-FD
mc07b	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	314.0	0	-47.0	g	This study	SO-SIGHT:FS-FD
mc07c	mc07	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	304.0	0	-53.0	g	This study	SO-SIGHT:FS-FD
