tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc01	McMurdo		mc01b : mc01c : mc01d : mc01e : mc01f : mc01h:mc01a	1.18	0.005	Ma	4.2	A	258.6	78.6	215.9	7.0	6.0	1.0	p	r	6.9745	0.0	-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Trachyte flow, N flank Observation hill, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc01	McMurdo	mc01b : mc01d : mc01g:mc01a	mc01b : mc01d : mc01g:mc01a	1.18	0.005	Ma													-77.85	166.64	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	IE-SPEC	Trachyte flow, N flank Observation hill, Hut Point Peninsula.	pmagpy-2.60	1.654e-05	3.374e-06	20.4	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc02	McMurdo		mc02b : mc02c : mc02f : mc02g : mc02h:mc02a	0.33	0.01	Ma	2.1	A	328.6	-80.0	1079.2	6.0	5.0	1.0	p	n	5.9958	0.0	-77.85	166.69	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Upper basalt flow, S. flank Crater Hill, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc03	McMurdo		mc03b : mc03c : mc03d : mc03f : mc03h:mc03a	0.348	0.004	Ma	2.3	A	352.0	-82.7	864.7	6.0	6.0	0.0	p	n	5.9942	0.0	-77.84	166.76	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. 10-m thick basalt flow, NE of Scott Base, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc04	McMurdo		mc04b : mc04e : mc04f : mc04g:mc04a	0.34	0.003	Ma	4.6	A	352.1	-86.8	292.3	5.0	4.0	1.0	p	n	4.988	0.0	-77.84	166.7	Intrusive:Igneous	Volcanic Dike	Basalt	Lisa Tauxe	DE-SPEC	Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Basalt volcanic dike at Fortress Rock, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc06	McMurdo		mc06c : mc06d : mc06g : mc06h:mc06a	4.0	4.0	Ma	4.8	A	13.6	-78.8	254.4	5.0	5.0	0.0	p	n	4.9843	0.0	-77.83	166.67	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc07	McMurdo		mc07c : mc07d : mc07e : mc07f:mc07b	4.0	4.0	Ma	3.2	A	156.9	-69.1	555.9	5.0	5.0	0.0	p	n	4.9928	0.0	-77.8	166.72	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc08	McMurdo		mc08b : mc08c : mc08d : mc08e : mc08f : mc08g : mc08h:mc08a	0.65	0.025	Ma	2.7	A	38.5	-78.3	429.5	8.0	8.0	0.0	p	n	7.9837	0.0	-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc08	McMurdo	mc08b : mc08g:mc08a	mc08b : mc08g:mc08a	0.65	0.025	Ma													-77.8	166.83	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Basalt flow at Breached Cone, Hut Point Peninsula. Intensity included in Pmag_Results.	pmagpy-2.60	4.336e-05	1.5080000000000002e-06	3.4789999999999996	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc09	McMurdo		mc09b : mc09c : mc09d : mc09e : mc09f : mc09g : mc09h:mc09a	0.07400000000000001	0.0075	Ma	3.6	A	259.9	-82.7	234.2	8.0	8.0	0.0	p	n	7.9701	0.0	-77.55	166.2	Extrusive:Igneous	Lava Flow	Trachyte	Lisa Tauxe	DE-SPEC	Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Kenyte (trachyte) flow, Backdoor Bay, Cape Royds - near MT Erubus. Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
