tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			92	83		Ma				:Channell 1992:				Lower Scaglia Rossa						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	Turonian - Santonian
			155	125		Ma				:Channell 1992:				Umbrian Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic : Early Cretaceous	Mesozoic	Jurassic : Cretaceous	Kimmeridgian - Barremian
			190	172		Ma				:Channell 1992:				Ammonitico Rosso, Corniola Formations						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Jurassic : Middle Jurassic	Mesozoic	Jurassic	Pliensbachian - Aalenian
			444	359		Ma				:Grishin et al. 1991:				Alay Paleozoic Basalts, Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Llandovery : Late Devonian	Paleozoic	Silurian : Devonian	
			444	416		Ma				:Grishin et al. 1991:				Alaysky Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic		Paleozoic	Silurian	
			542	513		Ma				:Grishin et al. 1991:				Karashatsky Massif, Intrusions						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Cambrian	Paleozoic	Cambrian	
			1650	800		Ma				:Grishin et al. 1991:				Makerskaya Suite, Main Range, Locality 2						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			200	161		Ma				:Mauritsch et al. 1995:				Jurassic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Jurassic : Middle Jurassic	Mesozoic	Jurassic	
			89	65		Ma				:Mattei et al. 1995:				Scaglia Formation, Marsica Area						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	
			146	125		Ma				:Dinares-Turell & Garcia-Senz 2000:				Organya Berriasian-Barremian Sediments, Group 2						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Berriasian - Barremian
