tab 	er_locations
continent_ocean	country	er_citation_names	er_location_alternatives	er_location_name	er_scientist_mail_names	geological_province_section	location_begin_elevation	location_begin_lat	location_begin_lon	location_class	location_description	location_end_elevation	location_end_lat	location_end_lon	location_geoid	location_lithology	location_precision	location_type	location_url	ocean_sea	plate_block	region	tectonic_setting	terrane	village_city
Europe	Italy	:Channell 1992:		Lower Scaglia Rossa		Scaglia Rossa		43.6	12.5	Sedimentary	Late Turonian to Santonian.		43.6	12.5		red limestone		Outcrop				Umbria			
Europe	Russia	:Grishin et al. 1991:		Metamorphics, Bechasynskaya Tectonic Zone				43.6	42.2	Metamorphic	Superseded study.		43.6	42.2		metamorphics		Outcrop				N.Caucasus			
Europe	Russia	:Grishin et al. 1991:		Metamorphics, Main Range, Combined				43.5	41.6	Metamorphic			43.5	41.6		metamorphics		Outcrop				N.Caucasus			
Europe	Italy	:Marton & Nardi 1994:		Apulian Limestones		Apulian Limestones		41	16.5	Sedimentary	Cenomanian to Turonian.		41	16.5		Limestone		Outcrop				Southern Italy			
Europe	Greece	:Muttoni et al. 1995:		Marmarotrapeza Formation, Comp.C		Marmarotrapeza Formation		38.2	26	Sedimentary	Spathian to Anisian age.		38.2	26		sediments		Outcrop				Chios Island			
Europe	Spain	:Juarez et al. 1995:		Iberian Range Sediments, Moneva P				40.7	358.8	Sedimentary	Middle to Late Oxfordian.		40.7	358.8		Limestone		Outcrop				Spain		Iberia	
Europe	Germany	:Katz et al. 1996:		Asphaltkalk Deposits		Asphaltkalk Deposits		52	9.5	Sedimentary	Kimmeridgian and Potlandian, petroleum impregnated.		52	9.5		Limestone		Outcrop				Northern Germany			
Europe	Poland	:Symons et al. 1995:		Muschelkalk Formation, Comp.C		Muschelkalk Formation		50	19.5	Sedimentary			50	19.5		Limestone : Dolostone		Outcrop				Lower Silesia			
Europe	Spain	:Pares et al. 1988:		Triassic sediments, Catalan Coastal Range				41.6	2.2	Sedimentary			41.6	2.2		Redbeds		Outcrop				Spain		Iberia	
Europe	Spain	:Platzman & Lowrie 1992:		Pelagic Limestones				36.8	355	Sedimentary	External Betic Cordillera.		36.8	355		Limestone		Outcrop				Spain		Iberia	
Europe	Russia	:Grishin et al. 1991:		Boulgenskaya suite, Main Range		Boulgenskaya suite		43.6	41.6	Metamorphic	Superseded study.		43.6	41.6		metamorphics		Outcrop				N.Caucasus			
Europe	Russia	:Grishin et al. 1991:		N.Caucasus Metamorphic Rocks, Combined				44	42	Metamorphic			44	42		metamorphics		Outcrop				N.Caucasus			
Europe	Russia	:Grishin et al. 1991:		Atzgarinskaya Suite, Locality 1		Atzgarinskaya Suite		44	42	Metamorphic	Superseded study.		44	42		metamorphics : albite : amphiboliteshales		Outcrop				N.Caucasus			
Europe	Italy	:Mattei et al. 1995:		Messinian Sediments, Roveto Valley		Messinian Sediments		42	13.2	Sedimentary	Messinian age.		42	13.2		sediments		Outcrop				Roveto Valley			
Europe	Italy	:Mattei et al. 1995:		Scaglia Formation, Marsica Area		Scaglia Formation		41.8	13.9	Sedimentary			41.8	13.9		Limestone : marl		Outcrop				Marsica Area			
Europe	Poland	:Symons et al. 1995:		Muschelkalk Formation, Comp.A		Muschelkalk Formation		50	19.5	Sedimentary			50	19.5		Limestone : Dolostone		Outcrop				Lower Silesia			
Europe	Spain	:Dinares-Turell & Garcia-Senz 2000:		Organya Berriasian-Barremian Sediments, Group 1		Organya Basin		42.2	1.3	Sedimentary	Berriasian to Barremian.		42.2	1.3		Limestone : marl		Outcrop				Northern Spain		Iberia	
Europe	U.K.	:Potts 1990:		Torridon Group		Torridon Group		57.5	353	Sedimentary	Applecross Formation. Eishort anticline.		57.5	353		Redbeds		Outcrop				Scotland			Isle of Skye
Europe	Spain	:Platzman & Lowrie 1992:		Capas Rojas Formation		Capas Rojas Formation		36.9	354.8	Sedimentary	External Betic Cordillera.		36.9	354.8		Limestone : marl		Outcrop				Spain			
Europe	Italy	:Channell et al. 1992:		Upper Ammonotico Rosso		Upper Ammonotico Rosso		46	12	Sedimentary	Kimmeridgian to Tithonian age.		46	12		Limestone		Outcrop				Venetian Alps			
Europe	Albania	:Mauritsch et al. 1995:		Pre-Wisconsinian Tills and Paleosols				39.9	20.2	Sedimentary	Tithonian age.		39.9	20.2		Limestone		Outcrop				Albania			
Europe	Spain	:Juarez et al. 1995:		Iberian Range Sediments, Moneva S				40.7	358.8	Sedimentary	Middle to Late Oxfordian.		40.7	358.8		Limestone		Outcrop				Spain		Iberia	
Europe	Ireland	:Symons et al. 2002:		Navan Dyke, Baked Contact		Navan Dyke and Baked Contact		53.6	353.3	Intrusive : Metamorphic	Paleocene - Eocene. dip at 10 to 70W.		53.6	353.3		metamorphics : Dolerite		Outcrop				Navan		East Avalon	
Europe	Bulgaria	:Jordanova et al. 2001:		Bundsandstein Sandstone		Bundsandstein Sandstone		43	23.1	Sedimentary	Lower Triassic.		43	23.1		Redbeds : Sandstone		Outcrop				West Balkan			
Europe	Russia	:Grishin et al. 1991:		Makerskaya Suite, Main Range, Locality 2		Makerskaya suite		43.6	41.6	Metamorphic	Superseded study.		43.6	41.6		metamorphics		Outcrop				N.Caucasus			
Europe	Russia	:Grishin et al. 1991:		Atzgarinskaya Suite, Locality 2		Atzgarinskaya Suite		44	42	Metamorphic	Superseded study.		44	42		metamorphics : albite : amphiboliteshales		Outcrop				N.Caucasus			
Europe	Spain	:Allerton et al. 1993:		Amalaya Formation		Amalaya Formation		37.9	358.4	Sedimentary	Late Oligocene to Aquitanian.		37.9	358.4		marl		Outcrop				Sierra Espuna			
Europe	Spain	:Allerton et al. 1993:		Bosque Formation		Bosque Formation		37.9	358.4	Sedimentary			37.9	358.4		marl		Outcrop				Sierra Espuna			
Europe	Spain	:Allerton et al. 1993:		Jurassic Limestones				37.9	358.4	Sedimentary			37.9	358.4		Limestone		Outcrop				Sierra Espuna			
Europe	Spain	:Allerton et al. 1993:		Permo-Triassic Sediments				37.9	358.4	Sedimentary			37.9	358.4		Redbeds		Outcrop				Sierra Espuna			
