tab 	pmag_results
antipodal	average_age	average_age_high	average_age_low	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_int	average_int_n	average_int_nn	average_int_rel	average_int_rel_sigma	average_int_rel_sigma_perc	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	average_sigma	conglomerate_test	contact_test	data_type	er_analyst_mail_names	er_citation_names	er_fossil_names	er_location_names	er_mineral_names	er_sample_names	er_site_names	er_specimen_names	er_synthetic_names	eta_dec	eta_inc	eta_semi_angle	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_experiment_names	magic_method_codes	magic_software_packages	model_lat	model_lat_sigma	model_lon	model_lon_sigma	normal_alpha95	normal_dec	normal_inc	normal_k	normal_lat	normal_lon	normal_n	percent_reversed	pmag_criteria_codes	pmag_result_name	pmag_rotation_codes	pole_comp_name	result_description	reversal_test	reversed_alpha95	reversed_dec	reversed_inc	reversed_k	reversed_lat	reversed_lon	reversed_n	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n	vgp_sigma	zeta_dec	zeta_inc	zeta_semi_angle
		542	513		Ma		321		19										52		95		8	72			ND	ND	a		:Grishin et al. 1991:		:Karashatsky Massif, Combined:									6797	GPMDB	Fo			:LP-DC2:DE-DI:LT-T-Z:													0		6797			Combined result. Thermal 520-540C. Combined RESULTNOS 6795-6796.	ND								ND			100																		37	326					
		1650	800		Ma	4	307		49									96	44		42		1	11			ND	ND	i		:Grishin et al. 1991:		:Atzgarinskaya Suite, Locality 1:									6833	GPMDB	ND			:LP-DC3:DE-DI:LT-AF-Z:LT-T-Z:													100		6833			Locality 1. Thermal 350C, AF 20mT. Js-T (CT 575C) , Q (0. 13-0. 40). Data included in RESULTNO 6836. Superseded study.	ND								M			100																5.3	3.5	-46	132					
		307	271		Ma	12	160		-57										40		72		5	5			ND	ND	i		:Grishin et al. 1991:		:Alay Paleozoic Basalts, Sediments:									7349	GPMDB	F-			:LP-DC2:DE-DI:LT-T-Z:													100		7349		Post-folding	Postfolding. Thermal to 300-540C.	ND								ND			0																17.5	12.7	74	340					
		65	23		Ma	4.4	42		37									77.3	40		20.3		15	79			ND	ND	i		:Mauritsch et al. 1995:		:Palaeogene Sediments:									7664	GPMDB	F+	99		:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													200		7664			AF to 60mT, thermal to 550C, characteristic component. IRM (no sat. 1. 4T).	Ro								M	4.4	8.5	100	42	33	37	61	77.3	3.63	21.3	15								5.2	3	49	126					
		100	65		Ma	4.4	35		33									66.6	39.9		20.2		17	89			ND	ND	i		:Mauritsch et al. 1995:		:Upper Cretaceous Limestones:									7665	GPMDB	F+	99		:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													200		7665			AF to 60mT, thermal to 550C, characteristic component. IRM (sat. 0. 2T).	Ro								M	4.4	10.1	100	35	33	33	43	66.6	4.9	13.6	17								5	2.8	53	136					
		247	237		Ma	11.7	271.2		33.2									112.5	38.2		26		3	125			ND	ND	i		:Muttoni et al. 1995:		:Marmarotrapeza Formation, Comp.C:									7767	GPMDB	F+	95		:LP-DC4:DE-DI:LT-T-Z:													200		7767		C	C Component. Thermal to 680C, high temp. characteristic component 625-680C. Passes reversals test at Class B. Passes McFadden and Jones test.	Rb								ND	11.7	37.4	100	271.2	282.1	33.2	22.9	112.5		12	3								13.3	7.5	12.1	309.7					
		60	10		Ma	6.9	2.6		65.5									34	50		19.5		14	140			G-	ND	i		:Symons et al. 1995:		:Muschelkalk Formation, Comp.C:									8384	GPMDB	ND			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													200		8384		C	C Component. AF to 100mT, thermal to 600C, characteristic component. IRM (sat. 0. 3T or no sat. 0. 9T). Tertiary age of mineralization. Conglomerate Test Parameters: Clasts not random. Conglomerate Test Significance: NO.	Ro								M			0																11.2	9.1	86.9	164.7					
176.9		133	100		Ma	2.3	317		31.6									11.8	46		11.8			343			ND	ND	i		:Channell et al. 2000:		:Cismon Section:									8559	GPMDB	ND			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:						2.7	316.7	32.7	13.3			219	36		8559			Thermal to 575C, AF to 100mT, characteristic component.	Ra	4.3	137.6	-29.7	9.7			124	ND	2.3	2.5	100	317	304.3	31.6	54.9	11.8		10.6	343								2.9	1.6	44.2	257.3					
		250	220		Ma	4.2	205.4		-28.2									37	51.1		15.8		3	29			ND	ND	i		:Jowett et al. 1987:		:Rote Faule ores:									365	GPMDB	ND			:LP-DC4:DE-VGP:LT-T-Z:													100		365			Linear trends 400-550C. Tc=680C. . MAGAGE from APWP (Europe) =Age Kupferschiefer mineralisation. .	ND								ND			100																3.9	3.9	49	157.2					
		318	271		Ma	10	47.6		46.5									85.3	77.8		14.5		4	34			ND	ND	i		:Jelenska & Vincenz 1985:		:Permo-Carboniferous Sediments:									1494	GPMDB	F+			:LP-DC4:DE-DI:LT-T-Z:													0		1494			Thermal Tb > 400C. See REFNO 1817 for details. Fold test said to be positive.	ND								M			100																12.8	8.2	35.5	140.7					
		60	50		Ma	13.5	170.5		-64.4									32.9	57.5		353		5	43			ND	ND	i		:Potts 1990:		:Torridon Group, Overprint:									6081	GPMDB	F-			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													100		6081		Secondary	Secondary. AF to 180mT, thermal to 700C. Early Tertiary overprint from Skye dykes.	ND								ND	13.5		0	170.5	168.3	-64.4	6.6	32.9	.09	1.2	5								21.6	17.3	77.3	204.3					
		307	271		Ma	4	124		-52										42		73			40			ND	ND	i		:Grishin et al. 1991:		:Ferghana Devonian Ophiolites:									7350	GPMDB	F-			:LP-DC2:DE-DI:LT-T-Z:													100		7350		Post-folding	Postfolding. Thermal to 300-540C.	ND								ND			0																5.5	3.7	45	350					
		444	363		Ma	13	324		-11										49.5		76.5		2	12			ND	ND	i		:Grishin et al. 1991:		:Janbazar Sediments, Chingiz-Tarbagay:									7355	GPMDB	Fo			:LP-DC3:DE-DI:LT-T-Z:													0		7355		Syn-folding	Syn-folding. Thermal to 200-450C, intersecting planes method.	ND								ND			0																13.2	6.7	26	297					
		1650	800		Ma	3	287		22									999	43.6		41.6		2	2			ND	ND	i		:Grishin et al. 1991:		:Makerskaya Suite, Main Range, Locality 2:									6829	GPMDB	ND			:LP-DC3:DE-DI:LT-AF-Z:													100		6829			Locality 2. Thermal 350C, AF 20mT. Q (0. 13-0. 40). Data included in RESULTNO 6831. Superseded study.	ND								M			100																3.2	1.7	-20	127					
		1650	800		Ma	6	268		44									21	43.6		42.2		1	34			ND	ND	i		:Grishin et al. 1991:		:Metamorphics, Bechasynskaya Tectonic Zone:									6832	GPMDB	ND			:LP-DC2:DE-DI:LT-AF-Z:													100		6832		Magnetite	Magnetite. AF 20mT. Js-T (CT 575C) , Q (0. 25-0. 51). Data included in RESULTNO 6836. Superseded study.	ND								M			100																7.5	4.7	-16	152					
		1650	800		Ma		107		-51										44		42		3	39			ND	ND	a		:Grishin et al. 1991:		:N.Caucasus Metamorphic Rocks, Combined:									6836	GPMDB	ND			:LP-DC3:DE-DI:LT-AF-Z:LT-T-Z:													0		6836			Combined result. Thermal 350C, AF 20mT. Js-T (CT 575C). Combined RESULTNOS 6832-6835.	ND								M			100																		-33	146					
		161	100		Ma	4	48		39									123	62		175		4	28			ND	ND	i		:Grishin et al. 1991:		:Koryak Mesozoic Tuffs, Sediments:									6720	GPMDB	Fo			:LP-DC4:DE-DI:LT-T-Z:													0		6720			Thermal 520-540C.	ND								ND			100																4.8	2.8	38	293					
		444	417		Ma	10	97		-37									15	40		72		1	14			ND	ND	i		:Grishin et al. 1991:		:Silurian Ophiolitic Lavas:									6778	GPMDB	Fo			:LP-DC2:DE-DI:LT-T-Z:													100		6778			Thermal 520-540C.	ND								ND			100																11.7	6.9	18	354					
		472	461		Ma	15	177		35									3	47		76		1	35			ND	ND	i		:Grishin et al. 1991:		:Arkharsu Allochton Gabbros:									6784	GPMDB	ND			:LP-DC2:DE-DI:LT-T-Z:													0		6784			Thermal 520-540C. Data included in RESULTNO 6786. Superseded study.	ND								ND			100																17.3	10	-24	79					
