tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
		K-Ar 23. 9+/-0. 8, 24. 9+/-2. 1, 20. 9+/-0. 8Ma.	27	21		Ma				:Terres & Luyendyk 1985:				Eastern Vasquez Formation (VQ)						:Gradstein et al. 2004:	:GM-KAR:GM-CC-STRAT:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
		40Ar/39Ar ages 18. 4+/-0. 2 and 22. 3+/-1. 5 Ma.	24	18		Ma				:MacConnell et al. 1994:				Central Mesa Basalts						:Gradstein et al. 2004:	:GM-ARAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
		K-Ar 23. 9+/-0. 8, 24. 9+/-2. 1, 20. 9+/-0. 8 Ma.	27	21		Ma				:Terres & Luyendyk 1985:				Eastern Vasquez Formation (VJ)						:Gradstein et al. 2004:	:GM-KAR:GM-CC-STRAT:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
		K-Ar 23. 9+/-0. 8, 24. 9+/-2. 1, 20. 9+/-0. 8 Ma.	27	21		Ma				:Terres & Luyendyk 1985:				Western Vasquez Formation						:Gradstein et al. 2004:	:GM-KAR:GM-CC-STRAT:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
		K-Ar ages 22. 9+/-0. 4 (base) , 17. 9, 18. 6+/-0. 2 (middle) Ma.	23	16		Ma				:MacFadden et al. 1990:				Hector Formation, Mojave Desert						:Gradstein et al. 2004:	:GM-FOSSIL:GM-KAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
		K-Ar 23. 9+/-0. 8, 24. 9+/-2. 1, 20. 9+/-0. 8 Ma.	27	21		Ma				:Terres & Luyendyk 1985:				Eastern Vasquez Formation (VP)						:Gradstein et al. 2004:	:GM-KAR:GM-CC-STRAT:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
			23	10		Ma				:Kanter & McWilliams 1982:				Kinnick Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Miocene	Cenozoic	Neogene	
		K-Ar 23. 9+/-0. 8, 24. 9+/-2. 1, 20. 9+/-0. 8 Ma.	27	21		Ma				:Terres & Luyendyk 1985:				Central Vasquez Formation						:Gradstein et al. 2004:	:GM-KAR:GM-CC-STRAT:									Phanerozoic	Oligocene : Miocene	Cenozoic	Paleogene : Neogene	
			23	16		Ma				:Ross et al. 1989:				Mojave Desert Volcanics						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Miocene	Cenozoic	Neogene	
		40Ar/39Ar ages 18. 4+/-0. 2 and 22. 3+/-1. 5 Ma.	24	18		Ma				:MacConnell et al. 1994:				Pink Canyon Volcanics, Sediments						:Gradstein et al. 2004:	:GM-ARAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
		Rb-Sr wr isochr. 80, 81. K-Ar biotite 83. 1, 85. 9; hornblende 88. 1.	88	80		Ma				:Kanter & McWilliams 1982:				Bear Valley Springs Pluton						:Gradstein et al. 2004:	:GM-KAR:GM-RBSR:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	
		Zircon fission track 10. 1+/-0. 8, 11. 6+/-1. 2Ma.	13	9		Ma				:Terres & Luyendyk 1985:				Mint Canyon Formation						:Gradstein et al. 2004:	:GM-FT:									Phanerozoic	Miocene	Cenozoic	Neogene	
		Various K-Ar and other ages 15. 8-21. 0 Ma.	21	15		Ma				:Schermer et al. 1996:				Fort Irwin Sediments and Volcanics, N Group						:Gradstein et al. 2004:	:GM-KAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
		Various K-Ar and other ages 15. 8-21. 0 Ma.	21	15		Ma				:Schermer et al. 1996:				Fort Irwin Sediments and Volcanics, NE Group						:Gradstein et al. 2004:	:GM-KAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
		Various K-Ar and other ages 15. 8-21. 0 Ma.	21	15		Ma				:Schermer et al. 1996:				Fort Irwin Sediments and Volcanics, N/NW Group						:Gradstein et al. 2004:	:GM-KAR:									Phanerozoic	Miocene	Cenozoic	Neogene	
