tab 	er_locations
continent_ocean	country	er_citation_names	er_location_alternatives	er_location_name	er_scientist_mail_names	geological_province_section	location_begin_elevation	location_begin_lat	location_begin_lon	location_class	location_description	location_end_elevation	location_end_lat	location_end_lon	location_geoid	location_lithology	location_precision	location_type	location_url	ocean_sea	plate_block	region	tectonic_setting	terrane	village_city
North America	U.S.A.	:Schermer et al. 1996:		Fort Irwin Sediments and Volcanics, N Group				35.5	243.5	Sedimentary : Intrusive			35.5	243.5		Intrusives : sediments		Outcrop				Northern Mojave Desert			
North America	U.S.A.	:Schermer et al. 1996:		Fort Irwin Sediments and Volcanics, NE Group				35.5	243.5	Sedimentary : Intrusive			35.5	243.5		Intrusives : sediments		Outcrop				Northern Mojave Desert			
North America	U.S.A.	:Kanter & McWilliams 1982:		Kinnick Formation		Kinnick Formation		35.2	241.7	Extrusive : Sedimentary	Intercalated basalts. Upper part is Lower to Middle Miocene. .		35.2	241.7		Extrusives : sediments		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Eastern Vasquez Formation (VJ)		Eastern Vasquez Formation		34.9	241.9	Extrusive : Sedimentary	Late Oligocene to Early Miocene.		34.9	241.9		Redbeds		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Eastern Vasquez Formation (VP)		Eastern Vasquez Formation		34.9	241.9	Extrusive : Sedimentary	Late Oligocene to Early Miocene.		34.9	241.9		Redbeds		Outcrop				California			
North America	U.S.A.	:MacConnell et al. 1994:		Pink Canyon Volcanics, Sediments				35	243	Extrusive : Sedimentary			35	243		rhyolites : Basalt : sediments		Outcrop				California			
North America	U.S.A.	:Schermer et al. 1996:		Fort Irwin Sediments and Volcanics, N/NW Group				35.5	243.5	Sedimentary : Intrusive			35.5	243.5		Intrusives : sediments		Outcrop				Northern Mojave Desert			
North America	U.S.A.	:MacConnell et al. 1994:		Central Mesa Basalts				35	243	Extrusive			35	243		Basalt		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Mint Canyon Formation		Mint Canyon Formation		34.8	241.2	Sedimentary	Middle to Late Miocene. Folding in Early Pliocene.		34.8	241.2		sediments		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Western Vasquez Formation		Western Vasquez Formation		34.8	241.4	Extrusive : Sedimentary	Late Oligocene to Early Miocene.		34.8	241.4		Redbeds		Outcrop				California			
North America	U.S.A.	:MacFadden et al. 1990:		Hector Formation, Mojave Desert		Hector Formation		34.8	244	Sedimentary	Extent Thickness 360m.		34.8	244		Siltstone : Sandstone		Outcrop				California			
North America	U.S.A.	:Ross et al. 1989:		Mojave Desert Volcanics		Mojave Desert Volcanics		34.8	243.5	Extrusive	Early Miocene age.		34.8	243.5		Basalt : Andesite		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Eastern Vasquez Formation (VQ)		Eastern Vasquez Formation		34.9	241.9	Extrusive : Sedimentary	Late Oligocene to Early Miocene.		34.9	241.9		Redbeds		Outcrop				California			
North America	U.S.A.	:Kanter & McWilliams 1982:		Bear Valley Springs Pluton		Bear Valley Springs Pluton		35.2	241.5	Intrusive	Pluton is intruded by Upper Cretaceous granodiorite/tonalite. Dips 10-15 deg to South (from overlying TM rocks). .		35.2	241.5		pluton		Outcrop				California			
North America	U.S.A.	:Terres & Luyendyk 1985:		Central Vasquez Formation				34.8	241.6	Extrusive : Sedimentary	Late Oligocene to Early Miocene.		34.8	241.6		Redbeds		Outcrop				California			
